249 2291 
237 67 1 
237 211 1 
237 184 1 
237 47 1 
237 201 1 
237 76 1 
237 185 1 
237 112 1 
237 215 1 
237 93 1 
237 132 1 
237 4 1 
237 189 1 
237 163 1 
237 34 1 
237 187 1 
237 53 1 
237 140 1 
237 44 1 
67 131 1 
67 182 1 
67 159 1 
67 10 1 
67 6 1 
67 95 1 
67 20 1 
67 4 1 
67 114 1 
67 204 1 
67 89 1 
67 98 1 
211 151 1 
211 110 1 
211 190 1 
211 145 1 
211 31 1 
211 75 1 
211 134 1 
211 210 1 
211 33 1 
211 243 1 
211 74 1 
131 37 1 
131 66 1 
131 103 1 
131 177 1 
131 90 1 
131 221 1 
131 113 1 
131 202 1 
131 91 1 
131 123 1 
131 55 1 
131 206 1 
131 116 1 
131 84 1 
151 94 1 
151 102 1 
151 136 1 
151 226 1 
151 93 1 
151 126 1 
151 115 1 
151 205 1 
151 236 1 
151 49 1 
151 216 1 
151 169 1 
151 54 1 
110 67 1 
110 233 1 
110 73 1 
110 10 1 
110 76 1 
110 170 1 
110 124 1 
110 95 1 
110 241 1 
110 75 1 
110 203 1 
110 2 1 
110 164 1 
110 227 1 
110 32 1 
182 73 1 
182 61 1 
182 179 1 
182 124 1 
182 132 1 
182 171 1 
182 148 1 
182 176 1 
182 23 1 
182 57 1 
182 174 1 
182 54 1 
233 170 1 
233 124 1 
233 236 1 
233 55 1 
233 246 1 
233 227 1 
233 59 1 
94 50 1 
94 124 1 
94 207 1 
94 7 1 
94 64 1 
94 203 1 
94 175 1 
94 48 1 
94 156 1 
94 98 1 
94 133 1 
94 88 1 
94 234 1 
184 100 1 
184 16 1 
184 156 1 
184 96 1 
184 3 1 
47 110 1 
47 222 1 
47 99 1 
47 154 1 
47 98 1 
47 164 1 
102 201 1 
102 50 1 
102 93 1 
102 18 1 
102 111 1 
102 193 1 
102 113 1 
102 79 1 
102 187 1 
102 3 1 
73 211 1 
73 26 1 
73 158 1 
73 228 1 
73 204 1 
73 149 1 
73 40 1 
73 16 1 
73 234 1 
159 185 1 
159 24 1 
159 18 1 
159 107 1 
159 74 1 
159 125 1 
159 5 1 
159 199 1 
37 151 1 
37 214 1 
37 35 1 
37 158 1 
37 170 1 
37 203 1 
37 134 1 
37 21 1 
37 109 1 
10 112 1 
10 95 1 
10 231 1 
10 160 1 
10 224 1 
10 187 1 
10 248 1 
201 150 1 
201 104 1 
201 65 1 
201 22 1 
201 122 1 
201 217 1 
201 103 1 
201 189 1 
201 98 1 
201 15 1 
76 182 1 
76 214 1 
76 226 1 
76 42 1 
76 92 1 
76 46 1 
76 160 1 
76 236 1 
76 245 1 
76 175 1 
76 86 1 
76 246 1 
76 5 1 
76 105 1 
185 182 1 
185 76 1 
185 214 1 
185 129 1 
185 6 1 
185 66 1 
185 171 1 
185 33 1 
185 2 1 
185 245 1 
185 243 1 
185 148 1 
185 240 1 
185 202 1 
185 165 1 
185 234 1 
185 219 1 
136 118 1 
136 25 1 
136 224 1 
136 191 1 
136 193 1 
136 79 1 
136 128 1 
136 108 1 
136 164 1 
26 159 1 
26 122 1 
26 209 1 
26 222 1 
26 51 1 
26 117 1 
26 239 1 
26 205 1 
26 221 1 
26 70 1 
26 85 1 
26 230 1 
26 143 1 
26 137 1 
214 161 1 
214 65 1 
214 168 1 
214 197 1 
214 207 1 
214 245 1 
214 16 1 
214 240 1 
214 97 1 
129 161 1 
129 104 1 
129 65 1 
129 66 1 
129 218 1 
129 231 1 
129 223 1 
129 138 1 
129 142 1 
129 63 1 
129 17 1 
129 120 1 
129 143 1 
35 218 1 
35 160 1 
35 142 1 
35 243 1 
35 34 1 
61 159 1 
61 150 1 
61 104 1 
61 31 1 
61 114 1 
61 118 1 
61 25 1 
61 33 1 
61 77 1 
61 43 1 
61 106 1 
61 44 1 
150 201 1 
150 27 1 
150 93 1 
150 20 1 
150 242 1 
150 140 1 
150 230 1 
161 37 1 
161 71 1 
161 209 1 
161 66 1 
161 139 1 
161 222 1 
161 103 1 
161 30 1 
161 177 1 
161 41 1 
161 128 1 
161 17 1 
6 161 1 
6 166 1 
6 145 1 
6 18 1 
6 92 1 
6 118 1 
6 232 1 
6 125 1 
27 226 1 
27 22 1 
27 95 1 
27 126 1 
27 51 1 
27 163 1 
27 90 1 
