12 132 
1 10 -1632 
1 8 -8048 
1 6 1729 
1 2 -8006 
1 5 -7995 
1 3 -5577 
1 7 -4646 
1 0 -5053 
1 4 5686 
1 9 5596 
1 11 3801 
10 1 -6735 
10 8 3228 
10 6 7477 
10 2 5245 
10 5 -1436 
10 3 3814 
10 7 -7008 
10 0 3276 
10 4 9393 
10 9 8992 
10 11 9339 
8 1 -2689 
8 10 4728 
8 6 3271 
8 2 -7802 
8 5 -9141 
8 3 2468 
8 7 8952 
8 0 2287 
8 4 -3049 
8 9 -1256 
8 11 -776 
6 1 2302 
6 10 477 
6 8 3693 
6 2 -8867 
6 5 8836 
6 3 8029 
6 7 -1015 
6 0 -9307 
6 4 5266 
6 9 8252 
6 11 -8232 
2 1 -6812 
2 10 2304 
2 8 -519 
2 6 -9010 
2 5 6338 
2 3 -616 
2 7 -821 
2 0 -5944 
2 4 -2584 
2 9 9860 
2 11 6163 
5 1 1444 
5 10 8410 
5 8 2097 
5 6 6806 
5 2 -1765 
5 3 -2951 
5 7 8144 
5 0 -5847 
5 4 9293 
5 9 5458 
5 11 1032 
3 1 -2157 
3 10 737 
3 8 3544 
3 6 1010 
3 2 6029 
3 5 -4249 
3 7 6582 
3 0 1435 
3 4 -3043 
3 9 1850 
3 11 -5617 
7 1 -9366 
7 10 7407 
7 8 -4825 
7 6 9321 
7 2 203 
7 5 6530 
7 3 -6123 
7 0 -5650 
7 4 -921 
7 9 2722 
7 11 2002 
0 1 5095 
0 10 -4990 
0 8 8800 
0 6 2354 
0 2 9795 
0 5 -6880 
0 3 -5454 
0 7 -2782 
0 4 5824 
0 9 3147 
0 11 7012 
4 1 -8729 
4 10 2521 
4 8 7907 
4 6 -114 
4 2 7273 
4 5 -7277 
4 3 -4229 
4 7 4852 
4 0 7822 
4 9 2448 
4 11 2716 
9 1 -2630 
9 10 5389 
9 8 -1237 
9 6 4092 
9 2 1267 
9 5 -7679 
9 3 -8202 
9 7 7558 
9 0 -520 
9 4 -8500 
9 11 -3112 
11 1 -998 
11 10 -7286 
11 8 -8590 
11 6 7412 
11 2 2237 
11 5 -9976 
11 3 -6895 
11 7 -1163 
11 0 -5836 
11 4 8365 
11 9 9844 
