41 81
1 0 3
2 0 3
2 25 1
3 0 2
4 0 3
5 0 1
6 0 2
6 11 1
6 15 1
7 0 1
7 17 1
8 0 2
9 0 4
9 12 1
9 16 1
10 0 2
10 4 1
10 24 1
11 0 2
12 0 2
12 15 1
13 0 2
14 0 2
14 21 1
14 29 1
14 34 1
15 0 2
16 0 4
16 22 1
17 0 1
18 0 4
18 27 1
19 0 1
20 0 2
20 9 1
20 19 1
21 0 2
21 13 1
22 0 1
23 22 1
23 33 1
24 0 3
25 0 2
26 0 5
26 1 1
26 2 1
26 38 1
27 0 3
28 0 4
28 3 1
29 0 5
29 6 1
29 20 1
29 37 1
30 0 2
31 0 4
31 18 1
31 40 1
32 0 5
32 14 1
32 23 1
32 26 1
32 39 1
33 0 3
34 0 8
34 8 1
34 28 1
35 0 3
35 7 1
36 0 2
37 0 4
37 5 1
38 0 2
39 0 10
39 10 1
39 30 1
39 31 1
39 36 1
40 0 5
40 21 1
40 35 1
